Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Pathway,Gene Ontology (biological process),Gene Ontology (molecular function),PDB,Pfam
P00550,reviewed,PTM3C_ECOLI,PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)],mtlA b3599 JW3573,Escherichia coli (strain K12),637,,mannitol transmembrane transport [GO:0015797]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795],kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]; protein-phosphocysteine-mannitol phosphotransferase system transporter activity [GO:0090565]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563],1A3A;1J6T;1VKR;1VRV;2FEW;,PF00359;PF02378;PF02302;
P00561,reviewed,AK1H_ECOLI,Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],thrA thrA1 thrA2 b0002 JW0001,Escherichia coli (strain K12),820,PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5. {ECO:0000250|UniProtKB:Q9SA18}.,homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; protein homotetramerization [GO:0051289]; threonine biosynthetic process [GO:0009088],aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; NADP binding [GO:0050661],6MX1;,PF00696;PF22468;PF00742;PF03447;
P00562,reviewed,AK2H_ECOLI,Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],metL metM b3940 JW3911,Escherichia coli (strain K12),810,PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000250|UniProtKB:Q9SA18}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5. {ECO:0000250|UniProtKB:Q9SA18}.,homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088],aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; metal ion binding [GO:0046872]; NAD+ binding [GO:0070403]; NADP binding [GO:0050661],,PF00696;PF00742;PF03447;
P00579,reviewed,RPOD_ECOLI,RNA polymerase sigma factor RpoD (Sigma-70),rpoD alt b3067 JW3039,Escherichia coli (strain K12),613,,DNA-templated transcription initiation [GO:0006352]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription initiation [GO:2000142]; response to heat [GO:0009408],DNA binding [GO:0003677]; sigma factor activity [GO:0016987],1SIG;1TLH;2P7V;3IYD;3T72;4JK1;4JK2;4JKR;4KMU;4KN4;4KN7;4LJZ;4LK0;4LK1;4LLG;4MEX;4MEY;4XSX;4XSY;4XSZ;4YFK;4YFN;4YFX;4YG2;4YLN;4YLO;4YLP;4ZH2;4ZH3;4ZH4;5UAC;5UAG;5UAH;5UAJ;5UAL;5UAQ;5VSW;5VT0;5W1S;5W1T;6B6H;6BYU;6C9Y;6CA0;6CUX;6JNX;6K4Y;6LDI;6N4C;6N57;6N58;6N62;6OUL;6P18;6P1K;6PB4;6PB5;6PB6;6PSQ;6PSR;6PSS;6PST;6PSU;6PSV;6PSW;6VJS;6WMU;6XH7;6XH8;6XL5;6XL9;6XLJ;6XLL;6XLM;7BEF;7BEG;7C17;7C97;7CHW;7DY6;7KHB;7KHC;7KHE;7KHI;7MKD;7MKE;7MKI;7MKJ;7N4E;7SZJ;7SZK;7UBM;7UBN;7VWY;7VWZ;7W5W;7W5X;7W5Y;7XUI;8AD1;8FTD;8IGR;8IGS;8JO2;8K59;8TO1;8TO6;8TO8;8TOE;8TOM;8U3B;8Y6U;,PF04546;PF03979;PF00140;PF04542;PF04539;PF04545;
P00582,reviewed,DPO1_ECOLI,DNA polymerase I (POL I) (EC 2.7.7.7),polA resA b3863 JW3835,Escherichia coli (strain K12),928,,base-excision repair [GO:0006284]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302],3'-5' exonuclease activity [GO:0008408]; 5'-3' exonuclease activity [GO:0008409]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887],1D8Y;1D9D;1D9F;1DPI;1KFD;1KFS;1KLN;1KRP;1KSP;1QSL;2KFN;2KFZ;2KZM;2KZZ;8OO6;8OOY;,PF01367;PF02739;PF00476;PF01612;
P00634,reviewed,PPB_ECOLI,Alkaline phosphatase (APase) (EC 3.1.3.1),phoA b0383 JW0374,Escherichia coli (strain K12),471,,protein dephosphorylation [GO:0006470],"alkaline phosphatase activity [GO:0004035]; hydrogenase (acceptor) activity [GO:0033748]; magnesium ion binding [GO:0000287]; oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]; phosphoprotein phosphatase activity [GO:0004721]; zinc ion binding [GO:0008270]",1AJA;1AJB;1AJC;1AJD;1ALH;1ALI;1ALJ;1ALK;1ANI;1ANJ;1B8J;1ED8;1ED9;1ELX;1ELY;1ELZ;1EW8;1EW9;1HJK;1HQA;1KH4;1KH5;1KH7;1KH9;1KHJ;1KHK;1KHL;1KHN;1URA;1URB;1Y6V;1Y7A;2ANH;2G9Y;2GA3;2MLX;2MLY;2MLZ;3BDF;3BDG;3BDH;3CMR;3DPC;3DYC;3TG0;4KM4;4YR1;5C66;5GAD;5GAF;5GAG;5GAH;5JTL;5JTM;5JTN;5JTO;5JTP;5TPQ;6PPT;6PQ2;6PQE;6PQM;6PRI;6PRJ;6PRQ;6PSI;7JMM;7JN8;7JN9;7JNE;7N6J;7N6K;7N6L;7N6M;,PF00245;
P00722,reviewed,BGAL_ECOLI,Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase),lacZ b0344 JW0335,Escherichia coli (strain K12),1024,,lactose catabolic process [GO:0005990],alkali metal ion binding [GO:0031420]; beta-galactosidase activity [GO:0004565]; carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287],1DP0;1F4A;1F4H;1HN1;1JYN;1JYV;1JYW;1JYX;1JZ2;1JZ3;1JZ4;1JZ5;1JZ6;1JZ7;1JZ8;1PX3;1PX4;3CZJ;3DYM;3DYO;3DYP;3E1F;3I3B;3I3D;3I3E;3IAP;3IAQ;3J7H;3MUY;3MUZ;3MV0;3MV1;3SEP;3T08;3T09;3T0A;3T0B;3T0D;3T2O;3T2P;3T2Q;3VD3;3VD4;3VD5;3VD7;3VD9;3VDA;3VDB;3VDC;4CKD;4DUV;4DUW;4DUX;4TTG;4V40;4V41;4V44;4V45;5A1A;6CVM;6DRV;6KUZ;6TSH;6TSK;6TTE;6X1Q;7BRS;7BTK;8BK7;8BK8;8BKG;8Q7Y;8RI6;8RI7;8RI8;8VT0;,PF02929;PF00703;PF02836;PF02837;PF16353;
P00803,reviewed,LEP_ECOLI,Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I),lepB b2568 JW2552,Escherichia coli (strain K12),324,,protein processing [GO:0016485]; proteolysis [GO:0006508]; signal peptide processing [GO:0006465],endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252],1B12;1KN9;1T7D;3IIQ;3S04;6B88;,PF10502;
P00804,reviewed,LSPA_ECOLI,Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II),lspA lsp b0027 JW0025,Escherichia coli (strain K12),164,PATHWAY: Protein modification; lipoprotein biosynthesis (signal peptide cleavage). {ECO:0000255|HAMAP-Rule:MF_00161}.,proteolysis [GO:0006508],aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175],,PF01252;
P00805,reviewed,ASPG2_ECOLI,L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase),ansB b2957 JW2924,Escherichia coli (strain K12),348,,asparagine catabolic process [GO:0006530]; protein homotetramerization [GO:0051289],asparaginase activity [GO:0004067]; identical protein binding [GO:0042802],1HO3;1IHD;1JAZ;1JJA;1NNS;3ECA;4ECA;5MQ5;6EOK;6NX6;6NX7;6NX8;6NX9;6NXA;6NXB;6PA2;6PA3;6PA4;6PA5;6PA6;6PA8;6PA9;6PAA;6PAB;6PAC;6UOD;6UOG;6UOH;6V23;6V24;6V25;6V26;6V27;6V28;6V29;6V2A;6V2B;6V2C;6V2G;6V5F;7A0U;7M11;7P9C;7R57;7R5Q;8ECD;8ECE;,PF00710;PF17763;
P00811,reviewed,AMPC_ECOLI,Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase),ampC ampA b4150 JW4111,Escherichia coli (strain K12),377,,antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677],beta-lactamase activity [GO:0008800],1C3B;1FCM;1FCN;1FCO;1FSW;1FSY;1GA9;1I5Q;1IEL;1IEM;1KDS;1KDW;1KE0;1KE3;1KE4;1KVL;1KVM;1L0D;1L0E;1L0F;1L0G;1L2S;1LL5;1LL9;1LLB;1MXO;1MY8;1O07;1PI4;1PI5;1XGI;1XGJ;2BLS;2FFY;2HDQ;2HDR;2HDS;2HDU;2I72;2P9V;2PU2;2PU4;2R9W;2R9X;2RCX;3BLS;3BM6;3FKV;3FKW;3GQZ;3GR2;3GRJ;3GSG;3GTC;3GV9;3GVB;3IWI;3IWO;3IWQ;3IXB;3IXD;3IXG;3IXH;3O86;3O87;3O88;4E3I;4E3J;4E3K;4E3L;4E3M;4E3N;4E3O;4JXG;4JXS;4JXV;4JXW;4KEN;4KG2;4KG5;4KG6;4KZ3;4KZ4;4KZ5;4KZ6;4KZ7;4KZ8;4KZ9;4KZA;4KZB;4LV0;4LV1;4LV2;4LV3;4OKP;4OLD;4OLG;5JOC;6DPT;6DPX;6DPY;6DPZ;6T35;6T3D;6T5Y;6T7L;6TBW;6TPM;6WHF;6X9Y;6XFS;6XG1;6YEN;6YEO;6YPD;9C6P;9C81;9C83;9C84;9DHL;,PF00144;
P00861,reviewed,DCDA_ECOLI,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),lysA b2838 JW2806,Escherichia coli (strain K12),420,"PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; L-lysine from DL-2,6-diaminopimelate: step 1/1. {ECO:0000269|PubMed:14343156}.",lysine biosynthetic process via diaminopimelate [GO:0009089],diaminopimelate decarboxylase activity [GO:0008836]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170],1KNW;1KO0;,PF02784;PF00278;
P00864,reviewed,CAPP_ECOLI,Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31),ppc glu b3956 JW3928,Escherichia coli (strain K12),883,,carbon fixation [GO:0015977]; gluconeogenesis [GO:0006094]; oxaloacetate metabolic process [GO:0006107]; protein homotetramerization [GO:0051289]; tricarboxylic acid cycle [GO:0006099],identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964],1FIY;1JQN;1QB4;,PF00311;
P00893,reviewed,ILVI_ECOLI,Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit),ilvI b0077 JW0076,Escherichia coli (strain K12),574,PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 1/4.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 1/4.,branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099],acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976],,PF02775;PF00205;PF02776;
P00894,reviewed,ILVH_ECOLI,Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III),ilvH brnP b0078 JW0077,Escherichia coli (strain K12),163,PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 1/4.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 1/4.,branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099],acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610],2F1F;,PF22629;PF10369;
P00903,reviewed,PABA_ECOLI,"Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)",pabA b3360 JW3323,Escherichia coli (strain K12),187,PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 4-aminobenzoate from chorismate: step 1/2.,4-aminobenzoate biosynthetic process [GO:0008153]; folic acid biosynthetic process [GO:0046656]; L-tryptophan biosynthetic process [GO:0000162]; tetrahydrofolate biosynthetic process [GO:0046654],4-amino-4-deoxychorismate synthase activity [GO:0046820]; protein heterodimerization activity [GO:0046982],8RP0;8RP1;8RP2;8RP6;8RP7;,PF00117;
P00904,reviewed,TRPGD_ECOLI,"Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]",trpGD trpD b1263 JW1255,Escherichia coli (strain K12),531,"PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 1/5. {ECO:0000305|PubMed:2428387, ECO:0000305|PubMed:4567790, ECO:0000305|PubMed:5333199}.; PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 2/5. {ECO:0000305|PubMed:2428387, ECO:0000305|PubMed:4567790, ECO:0000305|PubMed:5333199}.",L-tryptophan biosynthetic process [GO:0000162]; phenazine biosynthetic process [GO:0002047],anthranilate phosphoribosyltransferase activity [GO:0004048]; anthranilate synthase activity [GO:0004049]; magnesium ion binding [GO:0000287],,PF00117;PF02885;PF00591;
P00914,reviewed,PHR_ECOLI,Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme),phrB phr b0708 JW0698,Escherichia coli (strain K12),472,,"photoreactive repair [GO:0000719]; phototransduction, visible light [GO:0007603]; response to light stimulus [GO:0009416]",damaged DNA binding [GO:0003684]; deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949],1DNP;,PF00875;PF03441;
P00926,reviewed,SDHD_ECOLI,D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD),dsdA b2366 JW2363,Escherichia coli (strain K12),442,,D-serine catabolic process [GO:0036088]; D-serine metabolic process [GO:0070178]; detoxification of nitrogen compound [GO:0051410]; DNA damage response [GO:0006974],D-serine ammonia-lyase activity [GO:0008721]; hydro-lyase activity [GO:0016836]; pyridoxal phosphate binding [GO:0030170],3SS7;3SS9;,PF00291;
P00935,reviewed,METB_ECOLI,Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase),metB b3939 JW3910,Escherichia coli (strain K12),386,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-cystathionine from O-succinyl-L-homoserine: step 1/1.,cysteine biosynthetic process via cystathionine [GO:0019343]; methionine biosynthetic process [GO:0009086]; transsulfuration [GO:0019346],cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; pyridoxal phosphate binding [GO:0030170],1CS1;,PF01053;
P00936,reviewed,CYAA_ECOLI,Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase),cyaA cya b3806 JW3778,Escherichia coli (strain K12),848,,cAMP biosynthetic process [GO:0006171],adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524],,PF12633;PF01295;
P00946,reviewed,MANA_ECOLI,Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI),manA pmi b1613 JW1605,Escherichia coli (strain K12),391,,colanic acid biosynthetic process [GO:0009242]; GDP-mannose biosynthetic process [GO:0009298]; mannose catabolic process [GO:0019309],mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270],,PF21621;PF20511;PF20512;
P00956,reviewed,SYI_ECOLI,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS),ileS ilvS b0026 JW0024,Escherichia coli (strain K12),938,,isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677],aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],,PF08264;PF00133;PF06827;
P00957,reviewed,SYA_ECOLI,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-),alaS lovB b2697 JW2667,Escherichia coli (strain K12),876,,alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of DNA-templated transcription [GO:0045892],alanine-tRNA ligase activity [GO:0004813]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; peptide lactyltransferase (ATP-dependent) activity [GO:0141207]; protein homodimerization activity [GO:0042803]; Ser-tRNA(Ala) deacylase activity [GO:0002196]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],3HXU;3HXV;3HXW;3HXX;3HXY;3HXZ;3HY0;3HY1;,PF02272;PF01411;PF07973;
